author,birthyr,date,docid,firstpub,gender,imprint,numwords,originalid,selectedby,source,title
"Mitchell, Margaret",1900,1936,MitcMG,1936,f,New York: Macmillan Co.,419679,00010497.txt,pubweek,chicago,Gone With the Wind
"Chandler, Raymond",,1939,thebigsleep,1939,m,,66472,thebigsleep.txt,other,gutenberg,The Big Sleep
"Steinbeck, John",1902,1939,SteinJGW,1939,m,New York: Viking,179011,00010586.txt,pubweek,chicago,The grapes of wrath
"Winsor, Kathleen",1919,1944,WinsKF,1944,f,New York: Macmillan Co.,353280,00010764.txt,pubweek,chicago,Forever Amber
"Fahs, Sophia Lyon",1876,1945,FahsSJC,1945,f,Boston: Beacon Press,49374,00010771.txt,random,chicagorandom,Jesus: the carpenter's son
"Jones, James",1921,1951,JoneJF,1951,m,New York: Charles Scribner's Sons,379246,00020018.txt,pubweek,chicago,From Here to Eternity
"Ellison, Ralph",1914,1952,ElliRI,1952,m,New York: Random House,176708,00020055.txt,modernlib,chicago,Invisible Man
"Hemingway, Ernest",1899,1952,HemiEOM,1952,m,,26588,00020063.txt,pulitzer,chicago,The Old Man and the Sea
"Golding, William",1911,1954,GoldWL,1954,m,New York: Perigee,60292,00023476.txt,modernlib,chicago,Lord of the Flies
"Nin, Anais",1903,1954,NinASHL,1954,f,New York/Paris: British Book Centre,34380,00020156.txt,random,chicagorandom,A spy in the house of love
"Heller, Joseph",1923,1955,HellJC,1955,m,New York: Simon & Schuster,174302,00020188.txt,modernlib,chicago,Catch-22
"Fleming, Ian",1908,1962,FlemISL,1962,m,New York: Viking,49458,00023506.txt,pubweek,chicago,The spy who loved me
"Swarthout, Glendon Fred",1918,1964,SwarGT,1964,m,New York: Random House,45440,00020613.txt,random,chicagorandom,The Cadillac cowboys
"Puzo, Mario",1920,1969,PuzoMTG,1969,m,,171937,00020845.txt,pubweek,chicago,The Godfather
"Vonnegut, Kurt",1922,1969,VoneKSF,1969,m,,49696,00020858.txt,Time2005,chicago,Slaughterhouse Five
"Michener, James A",1907,1974,MichJC,1974,m,": ""Greenwich, Conn., Fawcett Pub.""",435046,00021199.txt,pubweek,chicago,Centennial
"Littell, Robert",1935,1978,LittRM,1978,m,"New York: ""Harcourt, Brace & Co.""",60182,00021548.txt,random,chicagorandom,Mother Russia
"Gordimer, Nadine",1923,1974,GordNBD,1979,f,,125428,00023571.txt,nobel,chicago,Burger's daughter
"Rushdie, Salman",1947,1981,RushSM,1981,m,New York: Alfred A. Knopf,213661,00021887.txt,modernlib,chicago,Midnight's Children
"Auel, Jean M",1936,1985,AuelJM,1985,f,New York: Crown Publishers,292546,00022298.txt,pubweek,chicago,The Mammoth Hunters
"Morrison, Toni",1931,1987,MorrTB,1987,f,New York: Knopf,97638,00022741.txt,modernlib,chicago,Beloved
"Powell, Padgett",1952,1987,PowePA,1987,m,"New York: ""Farrar, Straus, Giroux""",35745,00022756.txt,random,chicagorandom,A woman named Drown
